GENE	Col 0	Col 1	Col 2	Col 3	Col 4	Col 5	Col 6	Col 7	Col 8	Col 9	Col 10	Col 11	Col 12	Col 13	Col 14	Col 15	Col 16	Col 17	Col 18	Col 19	Col 20	Col 21	Col 22	Col 23	Col 24	Col 25	Col 26	Col 27	Col 28	Col 29	Col 30	Col 31	Col 32	Col 33	Col 34	Col 35	Col 36	Col 37	Col 38	Col 39	Col 40	Col 41	Col 42
VNG0406C	0.673770	2.195822	1.281577	-1.820966	1.397388	0.027120	2.195822	0.163178	1.647810	0.709786	1.200843	0.438589	1.465616	1.376443	0.026446	-2.027626	-0.276169	1.431501	-2.950752	0.275426	-0.160277	-2.961853	1.260852	1.463654	1.744341	1.861193	-2.318962	-1.130887	1.741105	2.006881	-1.962385	0.768064	0.469445	-2.958621	-5.716718	-0.938514	-1.185563	-0.258936	-2.253327	0.874368	1.685350	0.773863	-1.194691
VNG0410G	0.624459	2.195822	1.285025	-2.044784	1.396799	-0.011297	2.195822	0.178478	1.649760	0.660753	1.228992	0.371983	1.479947	1.376536	-0.276383	-2.230296	-0.195753	1.444424	-2.091746	-0.107688	-0.525653	-2.448372	1.280704	1.432595	1.750487	1.922216	-2.841917	-0.681949	1.764767	1.998471	-2.604682	0.703858	0.158360	-3.780686	-4.215234	-1.040165	-1.109672	-0.580420	-2.773898	0.840392	1.718196	0.478557	-1.368781
VNG0415G	0.990864	2.195822	0.218131	1.240845	-0.188805	-2.741121	2.195822	1.651262	-0.176470	0.909067	0.001565	0.674906	-0.060615	-0.523262	-1.335606	0.996576	0.936410	0.380002	0.847901	-0.410852	1.687516	0.839176	0.064497	-2.161726	0.033542	-1.630937	0.911398	-0.330709	0.425447	0.687787	0.983295	0.872880	-0.316423	1.196639	1.374615	1.053392	1.011203	-0.397355	0.912154	0.978889	0.210760	-1.684151	1.035750
VNG0426G	0.696036	2.195822	1.226251	-2.047892	1.335458	0.470212	2.195822	-0.245361	1.597148	0.761524	1.156988	0.370892	1.428850	1.348758	0.490774	-1.757857	-0.302278	1.387831	-2.124289	0.651868	-0.422236	-2.275874	1.209678	1.499791	1.685333	1.801114	-2.182656	-1.085066	1.687585	1.966940	-1.901849	0.828483	0.794652	-2.565003	-5.690875	-0.866734	-0.970986	0.271329	-1.536211	0.954914	1.638592	1.167946	-1.018540
VNG0433C	0.150532	2.195822	1.314888	-1.885927	1.398623	0.081453	2.195822	0.228556	1.600737	0.194435	1.245932	0.577432	1.514663	1.445329	-0.086518	-2.164927	-0.252212	1.430923	-1.471013	-0.286226	-0.721171	-1.042362	1.316388	1.488261	1.751854	2.028173	-1.916367	0.293190	1.843116	1.887787	-3.958169	0.298343	0.125385	-2.620262	-1.125187	-0.950839	-1.688707	0.128322	-3.979462	0.304297	1.804383	0.297239	-2.535092
VNG0439C	1.107798	2.195822	1.084350	-1.614362	1.278507	0.536681	2.195822	-0.248952	1.563394	1.155561	1.118659	0.442568	1.254017	1.106296	-0.094053	-0.612411	-0.313892	1.354215	-0.583864	-0.247976	-1.386960	-2.362173	1.109259	1.001674	1.609824	1.641984	-1.413322	-0.679093	1.428368	2.010819	-0.582523	1.212729	0.098732	-0.508722	-1.011983	-0.198351	-0.182470	-1.502946	-0.664068	1.322966	1.398435	0.377307	-0.186746
VNG0451G	0.219083	2.195822	-2.488812	1.517725	-1.005393	0.062433	2.195822	1.563096	-0.346822	0.264540	-1.635125	0.329914	-2.119061	-2.085645	0.175572	1.369885	1.577758	-1.025141	1.327178	0.247689	2.103622	1.395853	-2.904832	-0.117301	-1.359323	-0.238396	1.259618	-0.072549	-4.913257	0.837266	1.563543	0.283443	0.426904	1.838556	2.167495	1.403848	1.471480	0.260207	1.373028	0.472486	-2.720602	0.788023	1.375436
VNG0452G	-0.402474	2.195822	-2.547879	1.434268	-1.683719	0.161359	2.195822	1.487742	-1.589839	-0.381830	-3.601907	0.534384	-2.303443	-1.386388	0.480469	1.310216	1.441506	-2.682493	1.269154	0.281107	2.022864	1.393268	-4.775807	-0.272862	-3.859572	-0.602646	1.231744	0.656213	-4.316900	0.118241	1.498085	-0.214881	0.502085	1.785593	2.142019	1.351637	1.362311	0.834186	1.300696	-0.239117	-3.521441	0.762866	1.269396
VNG0453G	-0.163394	2.195822	-2.685680	1.471911	-1.483712	0.063320	2.195822	1.528981	-1.078262	-0.137602	-2.886467	0.479618	-2.557604	-1.701634	0.361757	1.331700	1.493460	-1.950660	1.285553	0.281260	2.063560	1.392317	-6.238733	-0.218452	-2.645859	-0.541507	1.243617	0.420392	-4.712532	0.394833	1.522007	-0.048149	0.484433	1.803909	2.149719	1.370665	1.398419	0.650279	1.325841	0.024833	-3.540754	0.769005	1.307809
VNG0457G	0.194485	2.195822	-1.730528	1.494065	-0.929983	-0.264174	2.195822	1.587060	-0.688151	0.191315	-2.362201	0.635331	-3.082258	-1.864215	0.202525	1.331785	1.475389	-1.271928	1.248983	0.355703	2.103152	1.337722	-2.981433	-0.280008	-1.484610	-1.049492	1.239727	0.027896	-2.926596	0.629456	1.522809	0.258960	0.551283	1.786687	2.107866	1.379904	1.377534	0.382472	1.318255	0.250967	-5.019599	0.727997	1.323967
VNG0467G	0.249303	2.195822	1.294567	-2.916278	1.388647	0.268358	2.195822	-0.054800	1.619326	0.321621	1.229476	0.385248	1.509657	1.430410	0.206213	-3.434695	-0.111516	1.424400	-2.010236	0.204079	-0.684095	-1.494232	1.294269	1.542833	1.751613	2.001284	-2.925317	0.017071	1.819262	1.926168	-5.696834	0.354331	0.427322	-3.741875	-1.758355	-1.335411	-1.631570	0.198095	-3.879475	0.510462	1.779953	0.778560	-2.506648
VNG0482H	1.328865	2.195822	0.245122	0.943964	0.534504	0.005930	2.195822	1.209096	0.960859	1.332550	0.353905	0.392202	0.241862	-0.145321	-0.839758	0.953192	0.826600	0.731045	0.825519	-0.796732	1.425923	0.663576	0.216569	-1.890972	0.751202	-0.658125	0.734810	-2.819752	-0.290602	1.683463	1.069080	1.410641	-0.429136	1.264980	1.461600	1.040298	1.117099	-3.190841	0.914573	1.509678	-0.451869	-0.340260	1.083060
VNG0483C	0.692081	2.195822	1.258480	-2.456127	1.378083	0.197207	2.195822	-0.031207	1.646795	0.740746	1.204483	0.269717	1.461384	1.354565	0.055120	-2.203738	-0.147383	1.426366	-2.217693	0.230256	-0.514601	-2.956616	1.251947	1.448959	1.734147	1.872839	-3.046590	-0.956273	1.722751	2.008206	-2.104419	0.769427	0.403878	-2.850707	-7.639370	-1.090170	-0.969057	-0.303455	-2.136032	0.945181	1.675221	0.797457	-1.181082
