Gene	Cond0	Cond1	Cond2	Cond3	Cond4
VNG2393G	-1.167992	0.155239	0.000000	1.552394	-0.450934
VNG0818C	0.778664	-1.223616	0.000000	1.446091	-0.013905
VNG1716G	-2.063813	-0.257977	0.023998	0.539951	0.000000
VNG2558G	-0.222867	-0.015549	0.000000	2.182021	0.077744
VNG1435G	0.194249	0.087077	-0.241137	-2.197027	0.000000
VNG1838H	0.000000	0.572515	-2.003802	0.190838	-0.229006
VNG6194H	0.827141	0.000000	0.131292	-1.842468	-0.573309
VNG0123G	0.000000	-0.513356	0.046669	-2.228430	0.180841
VNG0961G	-1.784685	-0.492786	0.426193	0.785794	0.000000
VNG6325H	-1.845276	0.894919	0.023759	0.000000	-0.332625
VNG6211G	-0.037449	0.274629	-0.362011	2.147100	0.000000
VNG1473H	-0.041227	0.000000	0.206137	-1.985783	0.570311
VNG2273H	0.018850	-0.245049	0.000000	1.998094	-0.513661
VNG0674C	0.294884	0.000000	-0.631894	1.979935	-0.168505
VNG0053H	1.071537	-1.681907	0.067819	-0.474732	0.000000
VNG1711G	-1.723027	-0.167983	0.158384	1.036696	0.000000
VNG2383G	-0.661570	0.000000	-0.063438	1.975648	0.072501
VNG1008G	-1.700621	-0.603959	0.000000	0.890045	0.397341
VNG1538H	0.308854	0.000000	0.183643	-2.103545	-0.058432
VNG6201G	0.000000	-1.385613	0.009758	-2.029630	0.185399
VNG2005G	0.341279	-0.108211	0.000000	-2.072648	0.266364
VNG1115H	0.394524	-0.093934	0.075147	-2.104126	0.000000
VNG0499G	0.411984	-1.631457	-0.725092	0.922844	0.000000
VNG0537C	0.062454	0.000000	-0.210781	2.139039	-0.179554
VNG2577C	-0.361845	0.014190	0.000000	-2.192355	0.283800
VNG2441G	-0.890497	-0.090867	0.090867	1.835514	0.000000
VNG2560G	-0.420491	-0.544165	0.000000	1.929311	0.024735
VNG6177G	0.425727	0.000000	-1.993650	-0.996825	0.145370
VNG2218G	-0.218304	0.000000	0.106726	2.129676	-0.223155
VNG2552G	-1.271706	0.561047	-0.673256	1.271706	0.000000
VNG2217G	-0.138562	0.117245	0.000000	2.206339	-0.058623
VNG6315G	0.159730	-0.109289	0.000000	-2.168963	0.159730
VNG1557G	-0.989608	0.000000	0.064325	1.692230	-0.420583
VNG1350C	0.454803	0.000000	-0.163729	-2.101190	0.009096
