geneid	Day1.AM	Day1.PM	Day2.AM	Day2.PM
7441783	-2.16449	1.17264	0.64286	0.95275
7441784	1.67438	0.19257	2.17116	0.71263
7441785	-2.90017	-1.55501	0.99055	-0.47284
7441786	-1.29719	0.19496	0.26801	-0.07955
7441788	-3.65016	0.94577	-0.21695	0.93687
7441789	0.57662	-1.16012	0.86442	-1.56963
7441792	-0.47941	-0.91475	1.69993	-0.6312
7441793	-2.70607	1.0184	-0.22543	0.6815
7441795	0.87549	-3.08043	0.60527	-3.44478
7441796	-1.22154	2.66423	1.27716	1.19309
7441799	-3.39129	-0.02051	0.33563	-0.0043
7441801	-2.30179	-1.03764	-0.90954	-0.58286
7441802	4.1622	-0.54771	1.00116	-1.84154
7441804	0.24388	-0.2503	1.10889	-1.52642
7441805	0.67717	-2.85929	0.44918	-1.92122
7441807	-0.76554	1.92356	-1.40171	1.75085
7441809	1.68972	0.53415	-0.84384	-0.07609
7441810	0.53895	-1.6687	1.4669	-2.1068
7441811	1.1012	-1.09263	0.32935	-3.19557
7441815	-0.86275	1.09594	0.02989	0.64041
7441817	2.50554	-1.37241	2.47097	-4.19535
7441819	1.33695	-0.6888	-0.04556	-1.46829
7441820	0.0301	0.79969	-0.69651	1.2153
7441821	-0.67115	0.33771	-0.22809	-0.27653
7441822	-3.28902	-0.57051	0.3799	0.39937
7441825	-2.40995	-3.367	-3.02869	-2.91353
7441827	-2.1989	1.63489	-0.46763	1.27681
7441828	-2.99438	1.15691	-1.31243	1.28469
7441829	-0.33918	-0.60556	-0.26128	-0.17474
7441832	-3.56803	0.5365	-1.00915	0.71691
7441834	1.53909	-1.2545	0.43743	-2.02899
7441836	0.49678	-1.27834	-0.27062	0.39363
7441837	-0.52681	-0.52981	1.58215	-0.87669
7441839	-1.99587	-0.11358	-0.50897	0.61353
7441840	1.04937	-0.01956	0.31565	0.48732
7441841	-1.67023	3.44039	-3.39283	2.66844
7441843	-3.13676	1.11975	0.40457	0.80621
